ShortName,FullLabel
HH1,Cluster number
HH2,Household number
LN,Line number
MWM1,Cluster number
MWM2,Household number
MWM3,Man's line number
MWMINT,Interviewer number
MWM4,Supervisor number
MWM5,Interviewer number
MWM6D,Day of interview
MWM6M,Month of interview
MWM6Y,Year of interview
MWM8,Respondent to another questionnaire
MWM9,Consent
MWM17,Result of man's interview
MWM7H,Start of interview - Hour
MWM7M,Start of interview - Minutes
MWM10H,End of interview - Hour
MWM10M,End of interview - Minutes
MWM11,Interview completed in private
MWM12,Language of the Questionnaire
MWM13,Language of the Interview
MWM14,Native language of the Respondent
MWM15,Translator used
MWMHINT,Household interviewer
MWM15A,Has this questionnaire?s respondent already been interviewed with any of the other questionnaires?
MWM15B,Check HC7[A] and HC12: Does this household have a
MWM15C,MICS plus participate
MWM15D,Phone numbers
MWMFIN,Finish
MWB3M,Month of birth of man
MWB3Y,Year of birth of man
MWB4,Age of man
MWB5,Ever attended school
MWB6A,Highest level of school attended
MWB6B,Highest grade attended at that level
MWB7,Ever completed that grade/year
MWB9,Attended school during current school year
MWB10A,Level of education attended current school year
MWB10B,Grade attended at that level during current school year
MWB11,Attended school previous school year
MWB12A,Level of education attended previous school year
MWB12B,Grade attended at that level during previous school year
MWB14,Can read part of the sentence
MWB15,Duration of living in current place
MWB16,Place of living prior to moving to current place
MWB17,State prior to moving to current place
MWB18,Covered by health insurance
MWB19A,Type of health insurance: Mutual health organization / Community-based health insurance
MWB19B,Type of health insurance: Health insurance through employer
MWB19C,Type of health insurance: Social security
MWB19D,Type of health insurance: Other privately purchased commercial health insurance
MWB19X,Type of health insurance: Other
MWB19NR,Type of health insurance: No response
MWDOI,Date of interview man (CMC)
MWB3C,Date of birth of man (CMC)
MWB3F,Date flag for MWB3
MWB4C,Age of respondent (calculated)
MWAGE,Age
MMT1,Frequency of reading newspaper or magazine
MMT2,Frequency of listening to the radio
MMT3,Frequency of watching TV
MMT4,Ever used a computer or a tablet
MMT5,Computer / tablet usage in the last 3 months
MMT6A,During the last 3 months: Copy or move a file or folder
MMT6B,During the last 3 months: Use a copy / paste in document
MMT6C,During the last 3 months: Send e-mail with attached file
MMT6D,During the last 3 months: Use a basic arithmetic formula in a spreadsheet
MMT6E,During the last 3 months: Connect and install a new device
MMT6F,During the last 3 months: Install and configure software
MMT6G,During the last 3 months: Create an electronic presentation
MMT6H,During the last 3 months: Transfer a file
MMT6I,During the last 3 months: Write a computer program
MMT9,Ever used internet
MMT10,Internet usage in the last 3 months
MMT11,Own a mobile phone
MMT12,Mobile phone usage in the last 3 months
MFN1A,Aware of terminologies used in the finance industry: Insurance
MFN1B,Aware of terminologies used in the finance industry: Pension
MFN1C,Aware of terminologies used in the finance industry: Mobile money
MFN1D,Aware of terminologies used in the finance industry: Saving account
